SkillID	SkillType	JobID	CDTime	SkillContinueTime	ExpendType	ExpendValue	SkillExID	LuaID	TargetType	IsCanFly	FlightSpeed	IsCanTrack	BreakType	DefultEffectPointDis	UseRange	SearchRadius	ReleaseRadius	RangeType	RangeValue1	RangeValue2	MaxHitAmount	NextSkillID	ComboTime	LinkSkillID	LinkStartTime	LinkEndTime	SecondStorageTime	SecondStorageSkillID	ThirdStrageTime	ThirdStrageSkillID	MaxStrageTime	SatrtAnimId	EndAnimId	HitEffectId	SkillStopEffect	SkillNameID	SkillAtlas	SkillIcon	SkillDescribeID	NextSkillDescribeID	SkillLevel
1013	1	1	6000	800	1	0	1013	0	5	0	0	0	3	0	2	0	0	1	3	0	5	0	0	0	0	0	0	0	0	0	0	1110	1110	30000	1	小旋风2段	0	Tex_Icon_Skill_KZS_XiaoXuanFeng	无	无	1
1014	1	1	6000	800	1	0	1014	0	5	0	0	0	3	0	2	0	0	1	4	0	5	0	0	0	0	0	0	0	0	0	0	1111	1111	30000	1	小旋风3段	0	Tex_Icon_Skill_KZS_XiaoXuanFeng	无	无	1
1015	1	1	6000	800	1	0	1015	0	5	0	0	0	3	0	2	0	0	1	5	0	5	0	0	0	0	0	0	0	0	0	0	1112	1112	30000	1	跳斩2段	0	Tex_Icon_Skill_KZS_FengBaoZhiNu	无	无	1
1101	1	3	18000	800	1	0	1101	0	5	0	0	0	1	0	3	0	0	1	3	0	5	0	0	0	0	0	0	0	0	0	0	1505	1506	30000	1	突刺 Lv.1	0	Tex_Icon_Skill_KTS_TuChi	向目标方向冲刺，碰撞敌人停止，对敌人造成伤害450%，并造成1秒眩晕	向目标方向冲刺，碰撞敌人停止，对敌人造成伤害470%，并造成1秒眩晕	1
1102	1	3	15000	767	1	0	1102	0	3	0	0	0	3	0	2	5	5	2	3	120	5	0	0	0	0	0	0	0	0	0	0	1507	1507	30000	1	沉默 Lv.1	0	Tex_Icon_Skill_KTS_ChengMo	对矩形区域敌人造成单次伤害280%，并沉默并减速60%，效果持续3秒	对矩形区域敌人造成单次伤害290%，并沉默并减速60%，效果持续3秒	1
1103	1	3	30000	700	1	0	1103	0	1	0	0	0	3	0	3	0	0	1	3	0	5	0	0	0	0	0	0	0	0	0	0	1508	1508	0	1	隐身 Lv.1	0	Tex_Icon_Skill_KTS_YinShen	自身快速进入隐身状态，持续时间内自身移动速度增加50%，隐身持续4秒	自身快速进入隐身状态，持续时间内自身移动速度增加55%，隐身持续4秒	1
1104	3	3	24000	900	1	0	1104	0	5	0	0	0	3	0	3	0	0	2	3	180	5	0	0	0	0	0	500	1106	1000	1107	1500	1509	1509	30000	1	斩杀 Lv.1	0	Tex_Icon_Skill_KTS_ZhangSha	对单体目标造成大量伤害240%，若目标血量低于50%，则额外造成一次大量伤害240%	对单体目标造成大量伤害320%，若目标血量低于50%，则额外造成一次大量伤害320%	1
1105	4	3	12000	700	1	0	1105	0	3	0	0	0	3	0	5	8	8	3	5	9	5	0	0	1108	400	1000	0	0	0	0	0	1512	1513	30002	1	无敌斩 Lv.1	0	Tex_Icon_Skill_KTS_WuDiZhang	化身残影，冲刺穿过目标，对目标造成伤害220%	化身残影，冲刺穿过目标，对目标造成伤害230%	1
1106	1	3	0	900	1	0	1106	0	5	0	0	0	3	0	5	0	0	2	5	180	5	0	0	0	0	0	0	0	0	0	0	1510	1510	30000	1	斩杀-2段	0	Tex_Icon_Skill_KTS_ZhangSha	无	无	1
1107	1	3	0	900	1	0	1107	0	5	0	0	0	3	0	5	0	0	2	5	180	5	0	0	0	0	0	0	0	0	0	0	1511	1511	30000	1	斩杀-3段	0	Tex_Icon_Skill_KTS_ZhangSha	无	无	1
1108	4	3	0	700	1	0	1108	0	3	0	0	0	3	0	5	8	8	3	5	9	5	0	0	1109	400	1000	0	0	0	0	0	1512	1513	30002	1	无敌斩-2段	0	Tex_Icon_Skill_KTS_WuDiZhang	无	无	1
1109	1	3	0	700	1	0	1109	0	3	0	0	0	3	0	5	8	8	3	5	9	5	0	0	0	400	1000	0	0	0	0	0	1512	1513	30002	1	无敌斩-3段	0	Tex_Icon_Skill_KTS_WuDiZhang	无	无	1
2006	3	2	10000	1000	1	0	2006	0	3	0	0	0	3	5	8	0	0	1	3	0	10	0	0	0	0	0	500	2013	1000	2014	1500	2010	2010	30001	1	冰柱 Lv.1	0	Tex_Icon_Skill_YSFS_ShuiZhiZhu	对目标位置召唤冰柱,对范围内的所有敌人造成200%伤害，并为所有人附加冻伤效果	对目标位置召唤冰柱,对范围内的所有敌人造成220%伤害，并为所有人附加冻伤效果	1
2007	1	2	8000	1000	1	0	2007	0	3	1	15	0	3	0	8	8	9	1	1	0	1	0	0	0	0	0	0	0	0	0	0	2011	2011	30001	1	冰枪术 Lv.1	0	Tex_Icon_Skill_YSFS_BingQianShu	召唤冰锥对目标连续造成3次伤害,每次70%伤害，并减速30%，持续2秒	召唤冰锥对目标连续造成3次伤害,每次75%伤害，并减速30%，持续2秒	1
2008	1	2	30000	1000	1	0	2008	0	1	0	0	0	3	0	100	7	8	1	1	0	1	0	0	0	0	0	0	0	0	0	0	2024	2024	0	1	水盾（暂废）	0	Tex_Icon_Skill_YSFS_BingQianShu	无	无	1
2009	1	2	18000	600	1	0	2009	0	1	0	0	0	3	0	100	7	8	1	1	0	1	0	0	0	0	0	0	0	0	0	0	2012	2013	0	1	瞬移 Lv.1	0	Tex_Icon_Skill_YSFS_ShunYi	以自身为圆心爆发寒冰冲击，造成240%伤害，并冰冻目标2秒	以自身为圆心爆发寒冰冲击，造成250%伤害，并冰冻目标2秒	1
2010	1	2	30000	3534	1	0	2010	0	5	0	0	0	3	0	100	0	0	1	4	0	10	0	0	0	0	0	0	0	0	0	0	2018	2020	30001	1	极寒领域（暂废）	0	Tex_Icon_Skill_YSFS_BingQianShu	无	无	1
2011	1	2	24000	5767	1	0	2011	0	5	0	0	0	1	0	100	0	0	1	5	0	10	0	0	0	0	0	0	0	0	0	0	2015	2017	0	1	元素湮灭 Lv.1	0	Tex_Icon_Skill_YSFS_YuanShuYanMie	角色瞬移，向前方位移5m，并清除自身减速效果	角色瞬移，向前方位移5m，并清除自身减速效果	1
2012	4	2	15000	800	1	0	2012	0	5	0	0	0	3	0	100	0	0	1	4	0	10	0	0	2015	500	800	0	0	0	0	0	2014	2014	30001	1	寒冰冲击 Lv.1	0	Tex_Icon_Skill_YSFS_HangBingChongJi	召唤双元素之力，每隔0.3秒对自身圆形范围敌人造成220%伤害	召唤双元素之力，每隔0.3秒对自身圆形范围敌人造成250%伤害	1
2013	1	2	10000	1000	1	0	2013	0	3	0	0	0	3	5	8	8	9	1	4	0	10	0	0	0	0	0	0	0	0	0	0	2025	2025	30001	1	水柱2段	0	Tex_Icon_Skill_YSFS_ShuiZhiZhu	无	无	1
2014	1	2	10000	1000	1	0	2014	0	3	0	0	0	3	5	8	8	9	1	4	0	10	0	0	0	0	0	0	0	0	0	0	2026	2026	30001	1	水柱3段	0	Tex_Icon_Skill_YSFS_ShuiZhiZhu	无	无	1
2015	4	2	15000	800	1	0	2015	0	5	0	0	0	3	0	100	0	0	1	5	0	10	0	0	2016	500	5000	0	0	0	0	0	2027	2027	30001	1	寒冰冲击-2段	0	Tex_Icon_Skill_YSFS_HangBingChongJi	无	无	1
2016	1	2	15000	800	1	0	2016	0	5	0	0	0	3	0	100	0	0	1	5	0	10	0	0	0	0	0	0	0	0	0	0	2028	2028	30001	1	寒冰冲击-3段	0	Tex_Icon_Skill_YSFS_HangBingChongJi	无	无	1
2501	1	4	6000	1000	1	0	2501	0	3	1	0	0	3	5	8	8	9	1	2	0	10	0	0	0	0	0	0	0	0	0	0	2504	2504	30003	0	泥潭沼泽 Lv.1	0	Tex_Icon_Skill_LJSS_NiLingZhaoZe	投掷药剂制造毒气区域，持续时间每秒对范围内敌人造成伤害25%并减速15%	投掷药剂制造毒气区域，持续时间每秒对范围内敌人造成伤害27%并减速15%	1
2502	1	4	15000	900	1	0	2502	0	3	0	0	0	3	5	8	8	9	1	3	0	10	0	0	0	0	0	0	0	0	0	0	2505	2505	30003	0	毒物 Lv.1	0	Tex_Icon_Skill_LJSS_HunShui	投掷魔法药剂，对范围内的敌方单位造成伤害350%	投掷魔法药剂，对范围内的敌方单位造成伤害380%	1
2503	3	4	30000	900	1	0	2503	0	3	0	0	0	3	5	8	8	9	1	3	0	10	0	0	0	0	0	500	2504	1000	2505	1500	2506	2506	30003	0	造物：大锤 Lv.1	0	Tex_Icon_Skill_LJSS_ZhaoWu	刻画法阵，天上召唤巨大的魔法巨锤，被巨锤击中造成400%伤害	刻画法阵，天上召唤巨大的魔法巨锤，被巨锤击中造成500%伤害	1
2504	1	4	0	900	1	0	2504	0	3	0	0	0	3	5	8	8	9	1	3	0	10	0	0	0	0	0	0	0	0	0	0	2507	2507	30003	0	大锤-2段	0	Tex_Icon_Skill_LJSS_ZhaoWu	无	无	1
2505	1	4	0	900	1	0	2505	0	3	0	0	0	3	5	8	8	9	1	3	0	10	0	0	0	0	0	0	0	0	0	0	2508	2508	30003	0	大锤-3段	0	Tex_Icon_Skill_LJSS_ZhaoWu	无	无	1
2506	1	4	18000	1000	1	0	2506	0	2	1	0	0	3	5	8	8	9	1	3	0	10	0	0	0	0	0	0	0	0	0	0	2511	2511	30003	1	治愈法阵 Lv.1	0	Tex_Icon_Skill_LJSS_ZhiLiao	刻画法阵，创造魔法阵持续治疗自身，恢复自身法术攻击*600%的生命值	刻画法阵，创造魔法阵持续治疗自身，恢复自身法术攻击*700%的生命值	1
2507	4	4	12000	1000	1	0	2507	0	3	0	0	0	3	5	8	8	9	1	3	0	10	0	0	2508	500	800	0	0	0	0	0	2509	2509	30003	0	造物：法阵 Lv.1	0	Tex_Icon_Skill_LJSS_FaZheng	目标位置刻画法阵造成200%伤害，再次使用当前技能可使目标定身2秒	目标位置刻画法阵造成250%伤害，再次使用当前技能可使目标定身2秒	1
2508	1	4	0	900	1	0	2508	0	3	0	0	0	3	5	8	8	9	1	3	0	10	0	0	0	0	0	0	0	0	0	0	2510	2510	30003	0	法阵-2段	0	Tex_Icon_Skill_LJSS_FaZheng	无	无	1
3001	5	1	0	1000	1	0	3001	0	3	0	0	0	3	0	100	3	3	2	3	120	3	3002	1000	0	0	0	0	0	0	0	0	1001	1001	30000	1	重击 Lv.1	0	Tex_Icon_Skill_KZS_Zhu	对面前扇形区域造成60%伤害	对面前扇形区域造成70%伤害	1
3002	5	1	0	900	1	0	3002	0	3	0	0	0	3	0	100	3	3	2	3	120	3	3003	1000	0	0	0	0	0	0	0	0	1002	1002	30000	1	重击 Lv.1	0	Tex_Icon_Skill_KZS_Zhu	对面前扇形区域造成60%伤害	对面前扇形区域造成80%伤害	1
3003	5	1	0	1000	1	0	3003	0	3	0	0	0	3	0	100	3	3	2	3	120	3	3004	1000	0	0	0	0	0	0	0	0	1003	1003	30000	1	重击 Lv.1	0	Tex_Icon_Skill_KZS_Zhu	对面前扇形区域造成72%伤害	对面前扇形区域造成90%伤害	1
3004	5	1	0	1367	1	0	3004	0	3	0	0	0	3	0	100	3	3	1	3	0	3	0	1000	0	0	0	0	0	0	0	0	1004	1004	30000	1	重击 Lv.1	0	Tex_Icon_Skill_KZS_Zhu	对自身扇形区域造成85%伤害	对面前扇形区域造成100%伤害	1
3011	5	3	0	800	1	0	3011	0	3	0	0	0	3	0	100	3	3	2	3	120	3	3012	1000	0	0	0	0	0	0	0	0	1501	1501	30000	1	重击 Lv.1	0	Tex_Icon_Skill_KTS_Zhu	对面前扇形区域造成50%伤害	对面前扇形区域造成60%伤害	1
3012	5	3	0	800	1	0	3012	0	3	0	0	0	3	0	100	3	3	2	3	120	3	3013	1000	0	0	0	0	0	0	0	0	1502	1502	30000	1	重击 Lv.1	0	Tex_Icon_Skill_KTS_Zhu	对面前扇形区域造成50%伤害	对面前扇形区域造成60%伤害	1
3013	5	3	0	1000	1	0	3013	0	3	0	0	0	3	0	100	3	3	2	4	120	3	3014	1000	0	0	0	0	0	0	0	0	1503	1503	30000	1	重击 Lv.1	0	Tex_Icon_Skill_KTS_Zhu	对面前扇形区域造成60%伤害	对面前扇形区域造成70%伤害	1
3014	5	3	0	780	1	0	3014	0	3	0	0	0	3	0	100	3	3	2	4	120	3	0	1000	0	0	0	0	0	0	0	0	1504	1504	30000	1	重击 Lv.1	0	Tex_Icon_Skill_KTS_Zhu	对自身扇形区域造成150%伤害	对自身扇形区域造成150%伤害	1
4001	5	2	0	600	1	0	4001	0	3	1	15	0	3	0	8	8	9	1	1	0	1	4002	1000	0	0	0	0	0	0	0	0	2001	2001	30001	1	冰球术 Lv.1	0	Tex_Icon_Skill_YSFS_Zhu	对锁定敌人造成60%伤害	对锁定敌人造成60%伤害	1
4002	5	2	0	600	1	0	4002	0	3	1	15	0	3	0	8	8	9	1	1	0	1	4003	1000	0	0	0	0	0	0	0	0	2002	2002	30001	1	冰球术 Lv.1	0	Tex_Icon_Skill_YSFS_Zhu	对锁定敌人造成66%伤害	对锁定敌人造成66%伤害	1
4003	5	2	0	800	1	0	4003	0	3	1	15	0	3	0	8	8	9	1	1	0	1	0	1000	0	0	0	0	0	0	0	0	2003	2003	30001	1	冰球术 Lv.1	0	Tex_Icon_Skill_YSFS_Zhu	对锁定敌人造成78%伤害，命中后有10%几率触发灼烧效果	对锁定敌人造成78%伤害，命中后有10%几率触发灼烧效果	1
4011	5	4	0	800	1	0	4011	0	3	1	15	0	3	0	8	8	9	1	1	0	1	4012	1000	0	0	0	0	0	0	0	0	2501	2501	30003	1	毒球术 Lv.1	0	Tex_Icon_Skill_LJSS_Zhu	锁定敌人释放毒球技能造成60%	锁定敌人释放毒球技能造成60%	1
4012	5	4	0	800	1	0	4012	0	3	1	15	0	3	0	8	8	9	1	1	0	1	4013	1000	0	0	0	0	0	0	0	0	2502	2502	30003	1	毒球术 Lv.1	0	Tex_Icon_Skill_LJSS_Zhu	锁定敌人释放毒球技能造成60%	锁定敌人释放毒球技能造成60%	1
4013	5	4	0	1170	1	0	4013	0	3	1	15	0	3	0	8	8	9	1	1	0	1	0	1000	0	0	0	0	0	0	0	0	2503	2503	30003	1	毒球术 Lv.1	0	Tex_Icon_Skill_LJSS_Zhu	锁定敌人释放毒球技能造成75%，15%几率触发中毒效果	锁定敌人释放毒球技能造成75%，15%几率触发中毒效果	1
9000	1	1	0	3000	1	0	9000	0	3	0	0	0	3	0	100	8	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	15	0	1	狂战士蓄力	0	Tex_UI_Fashigongji	无	无	1
9001	1	2	0	3000	1	0	9000	0	3	0	0	0	3	0	100	8	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	16	0	1	法师蓄力	0	Tex_UI_Fashigongji	无	无	1
9002	1	3	0	3000	1	0	9000	0	3	0	0	0	3	0	100	8	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	17	0	1	开膛手蓄力	0	Tex_UI_Fashigongji	无	无	1
9003	1	4	0	3000	1	0	9000	0	3	0	0	0	3	0	100	8	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	18	0	1	炼金术士蓄力	0	Tex_UI_Fashigongji	无	无	1
10000	1	1	3000	1700	1	0	10000	0	3	0	0	0	1	0	3	0	0	1	4	0	5	0	0	0	0	0	0	0	0	0	0	101	101	0	1	怪物近战普攻	0	Tex_UI_Fashigongji	无	无	1
10001	1	1	3000	1700	1	0	10001	0	3	1	15	0	1	0	6	0	0	1	2	0	5	0	0	0	0	0	0	0	0	0	0	102	102	0	1	哥布林	0	Tex_UI_Fashigongji	无	无	1
10002	1	1	3000	1700	1	0	10001	0	3	1	15	0	1	0	6	0	0	1	2	0	5	0	0	0	0	0	0	0	0	0	0	103	103	0	1	蜘蛛	0	Tex_UI_Fashigongji	无	无	1
10003	1	1	3000	1700	1	0	10001	0	3	1	15	0	1	0	6	0	0	1	2	0	5	0	0	0	0	0	0	0	0	0	0	104	104	0	1	石头人	0	Tex_UI_Fashigongji	无	无	1
